ability_id,ability_text_ko,tts_text,voice_tag,review_status,source_card_nos,source_card_ids,source_bird_names,source_ocr_texts
ability_0402bc96a049,공급처에서 아무 먹이 1개를 가져옵니다.,공급처에서 아무 먹이 1개를 가져옵니다.,Jean,translated_draft,172,atlas02_r05_c10,아메리카딱새,Gain 1 [wild] from the birdfeeder.
ability_085a21d554a1,"물고기 먹이 1개를 버리고, 덱에서 카드 2장을 이 새 아래에 끼워넣습니다.","물고기 먹이 1개를 버리고, 덱에서 카드 2장을 이 새 아래에 끼워넣습니다.",Jean,translated_draft,114|115,atlas01_r07_c02|atlas01_r07_c03,두겹볏가마우지|아메리카흰펠리컨,Discard [fish] to tuck 2 [card] from the deck behind this bird. || Discard a [fish] to tuck 2 [card] from the deck behind this bird.
ability_09287f629aed,모든 플레이어는 바닥형 둥지 새 1마리에 알 1개를 낳습니다. 당신은 추가로 바닥형 둥지 새 1마리에 알 1개를 낳아도 됩니다.,모든 플레이어는 바닥형 둥지 새 1마리에 알 1개를 낳습니다. 당신은 추가로 바닥형 둥지 새 1마리에 알 1개를 낳아도 됩니다.,Jean,translated_draft,55,atlas01_r01_c03,서부종다리,All players lay 1 [egg] on any 1 [ground] bird. You may lay 1 [egg] on 1 additional [ground] bird.
ability_0af6597dc511,"덱에서 카드 1장을 확인합니다. 날개 길이가 100센티미터 미만이면 이 새 아래에 끼워넣고, 아니면 버립니다.","덱에서 카드 1장을 확인합니다. 날개 길이가 100센티미터 미만이면 이 새 아래에 끼워넣고, 아니면 버립니다.",Jean,translated_draft,96|97|98,atlas01_r05_c04|atlas01_r05_c05|atlas01_r05_c06,송골매|검독수리|아메리카수리부엉이,"Look at a [card] from the deck. If <100cm, tuck it behind this bird. If not, discard it."
ability_0cbabbe25e3e,이 새를 가로로 놓아 초원 서식지 칸 2개를 덮게 합니다. 더 낮은 알 비용을 지불합니다.,이 새를 가로로 놓아 초원 서식지 칸 2개를 덮게 합니다. 더 낮은 알 비용을 지불합니다.,Jean,translated_draft,208,atlas03_r02_c06,에어오프이느르오르르어새,"Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost."
ability_0f54c25ebcfb,이 서식지의 빈 카드 칸 1칸마다 카드 1장을 뽑습니다. 턴이 끝날 때 그중 1장을 가지고 나머지는 버립니다.,이 서식지의 빈 카드 칸 1칸마다 카드 1장을 뽑습니다. 턴이 끝날 때 그중 1장을 가지고 나머지는 버립니다.,Jean,translated_draft,194|195,atlas03_r01_c02|atlas03_r01_c03,윌슨스트오르므페트럴새|뿔논병아리,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest."
ability_105c3dfc058e,"다른 플레이어가 어떤 이유로든 카드를 끼워넣을 때, 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.","다른 플레이어가 어떤 이유로든 카드를 끼워넣을 때, 덱에서 카드 1장을 이 새 아래에 끼워넣습니다.",Jean,translated_draft,247,atlas03_r06_c05,에어오프이느그오르드프이느치새,"When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird."
ability_14a061ea4bec,다른 플레이어의 공급처에서 아무 먹이 1개를 가져와 당신의 공급처에 더합니다. 그 플레이어는 공급처에서 먹이 주사위 1개를 가져옵니다.,다른 플레이어의 공급처에서 아무 먹이 1개를 가져와 당신의 공급처에 더합니다. 그 플레이어는 공급처에서 먹이 주사위 1개를 가져옵니다.,Jean,translated_draft,222,atlas03_r03_c10,검은머리갈매기,Steal 1 [wild] from another player's supply and add it to your own supply. They gain 1 [die] from the birdfeeder.
ability_14d5a3046ef4,카드 2장을 뽑습니다. 그렇게 했다면 턴이 끝날 때 손에 있는 카드 1장을 버립니다.,카드 2장을 뽑습니다. 그렇게 했다면 턴이 끝날 때 손에 있는 카드 1장을 버립니다.,Jean,translated_draft,53|179,atlas01_r01_c01|atlas02_r06_c07,얼룩부리논병아리|붉은가슴비오리,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn."
ability_16456e904847,새 보너스 카드 2장을 뽑고 그중 1장을 가집니다.,새 보너스 카드 2장을 뽑고 그중 1장을 가집니다.,Jean,translated_draft,146|147|148|149|150|151|152|153|154|155|156|157|158|159|160,atlas02_r03_c04|atlas02_r03_c05|atlas02_r03_c06|atlas02_r03_c07|atlas02_r03_c08|atlas02_r03_c09|atlas02_r03_c10|atlas02_r04_c01|atlas02_r04_c02|atlas02_r04_c03|atlas02_r04_c04|atlas02_r04_c05|atlas02_r04_c06|atlas02_r04_c07|atlas02_r04_c08,숲황새|르오스이트에저어새|하늘빛워블러|밤색크오르르아르에드긴발톱멧새|크이느그뜸부기|붉은크오크아드에드딱따구리|아메리카흰두루미|점박이올빼미|캐신되새|벨비레오|채색멧새|큰프르에이르이치이크에느새|대서양퍼핀|스프르아그우에스밭종다리|캘리포니아콘도르,Draw 2 new bonus cards and keep 1.
