card_no,bird_name,bird_name_ko,tts_text,voice_tag,review_status,source_file_name,source_vo_id,source_transcript,source_score
1,Wild Turkey,들칠면조,들칠면조입니다. 유럽인이 오기 전부터 사람 곁에 길들여졌습니다. 오래된 식탁의 역사 속에서 이미 주연이던 새입니다.,Jean,draft,1_Wild_Turkey_VO_3.wav,3,Wild Turkey. Wild turkeys were domesticated in the Americas before European contact.,75
2,Hooded Warbler,두건워블러,두건워블러입니다. 숲의 낮은 층을 무대 삼아 땅 가까이에 둥지를 짓습니다. 키 작은 관객만 볼 수 있는 숲속 비밀 공연입니다.,Jean,draft,2_Hooded_Warbler_VO_1.wav,1,Hooded Warbler. This bird spends its time in the understory and nests within a few feet of the ground.,75
3,Prothonotary Warbler,프로토노터리워블러,프로토노터리워블러입니다. 이름은 노란 두건을 쓴 옛 필경사들에게서 왔습니다. 새 한 마리 안에 작은 수도원 이야기가 숨어 있습니다.,Jean,draft,3_Prothonotary_Warbler_VO_1.wav,1,Prothonotary Warbler. The name Prothonotary comes from Catholic scribes who wore yellow hoods.,75
4,Trumpeter Swan,나팔고니,나팔고니입니다. 북아메리카에서 가장 묵직한 새 중 하나입니다. 물 위를 미끄러질 때도 존재감은 작은 배 한 척 같습니다.,Jean,draft,4_Trumpeter_Swan_VO_1.wav,1,"Trumpeter Swan. Weighing over 20 pounds, Trumpeter Swans are the heaviest bird in North America.",75
5,Blue Winged Warbler,푸른날개워블러,푸른날개워블러입니다. 숲과 들판이 만나는 가장자리를 좋아합니다. 두 세계 사이를 오가는 작은 경계의 가수입니다.,Jean,draft,5_blue_winged_warbler_VO_1.wav,1,Blue-winged warbler. This warbler especially likes to nest on the edges between forest and fields.,60
6,American Woodcock,아메리카멧도요,아메리카멧도요입니다. 구애 비행 때는 하늘 높이 올랐다가 수직으로 떨어집니다. 사랑 고백을 롤러코스터처럼 하는 새입니다.,Jean,draft,6_American_Woodcock_VO_1.wav,1,American Woodcock. The Woodcock's amazing mating display involves repeated dives from 300 feet.,75
7,Loggerhead Shrike,큰머리때까치,큰머리때까치입니다. 먹이를 가시에 꽂아 두었다가 나중에 먹습니다. 작은 몸집에 사냥꾼의 식료품 저장고를 갖춘 셈입니다.,Jean,draft,7_Loggerhead_Shrike_VO_2.wav,2,Loggerhead Shrike. Shrikes impale their prey on thorns or barbed wire and may save them for later.,75
8,American Avocet,아메리카장다리물떼새,아메리카장다리물떼새입니다. 자기 둥지도 짓지만 남의 둥지에 알을 맡기기도 합니다. 육아 전략이 꽤 대담한 편입니다.,Jean,draft,8_American_Avocet_VO_2.wav,2,"American Avocet. American Avocets build their own nests, but also parasitize other birds' nests.",75
9,Brown Headed Cowbird,갈색머리찌르레기,갈색머리찌르레기입니다. 둥지를 짓지 않고 다른 새의 둥지에 알을 맡깁니다. 자연의 탁아소를 아주 적극적으로 이용합니다.,Jean,draft,9_Brown_Headed_Cowbird_VO_1.wav,1,Brown Headed Cowbird. Cowbirds do not make nests. They lay their eggs in other birds' nests.,75
10,Yellow Billed Cuckoo,노란부리뻐꾸기,노란부리뻐꾸기입니다. 둥지를 짓는 방식에 이 새만의 꾀가 숨어 있습니다. 작은 집 하나에도 생존 전략이 들어갑니다.,Jean,draft,10_Yellow_Billed_Cuckoo_VO_1.wav,1,Yellow Billed Cuckoo's lay their eggs in other birds' nests when food is abundant.,75
